id_uav,n_segmentos,num_episodes,learning_rate,discount_rate,fail
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
0,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
1,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
2,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
3,30,200,0.9,0.3,False
4,30,200,0.9,0.3,False
